period,ward,category,budgeted_amount,actual_spend,notes,growth_percent
2024-01,Ward 1 – Kasba,Roads & Pothole Repair,13.0,13.3,,2.31
2024-01,Ward 1 – Kasba,Drainage & Flooding,8.6,7.3,,-15.12
2024-01,Ward 1 – Kasba,Streetlight Maintenance,3.3,3.0,,-9.09
2024-01,Ward 1 – Kasba,Waste Management,5.9,5.3,,-10.17
2024-01,Ward 1 – Kasba,Parks & Greening,2.3,2.4,,4.35
2024-01,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.8,16.2,,2.53
2024-01,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,10.9,,9.0
2024-01,Ward 2 – Shivajinagar,Streetlight Maintenance,4.4,3.8,,-13.64
2024-01,Ward 2 – Shivajinagar,Waste Management,6.4,6.1,,-4.69
2024-01,Ward 2 – Shivajinagar,Parks & Greening,1.9,1.6,,-15.79
2024-01,Ward 3 – Kothrud,Roads & Pothole Repair,11.8,10.6,,-10.17
2024-01,Ward 3 – Kothrud,Drainage & Flooding,8.2,8.0,,-2.44
2024-01,Ward 3 – Kothrud,Streetlight Maintenance,4.0,3.4,,-15.0
2024-01,Ward 3 – Kothrud,Waste Management,5.1,4.6,,-9.8
2024-01,Ward 3 – Kothrud,Parks & Greening,3.3,3.3,,0.0
2024-01,Ward 4 – Warje,Roads & Pothole Repair,10.3,10.2,,-0.97
2024-01,Ward 4 – Warje,Drainage & Flooding,6.7,6.1,,-8.96
2024-01,Ward 4 – Warje,Streetlight Maintenance,3.0,3.1,,3.33
2024-01,Ward 4 – Warje,Waste Management,4.4,4.7,,6.82
2024-01,Ward 4 – Warje,Parks & Greening,1.6,1.3,,-18.75
2024-01,Ward 5 – Hadapsar,Roads & Pothole Repair,14.3,15.3,,6.99
2024-01,Ward 5 – Hadapsar,Drainage & Flooding,10.6,11.0,,3.77
2024-01,Ward 5 – Hadapsar,Streetlight Maintenance,3.7,3.4,,-8.11
2024-01,Ward 5 – Hadapsar,Waste Management,6.1,5.4,,-11.48
2024-01,Ward 5 – Hadapsar,Parks & Greening,2.5,2.8,,12.0
2024-02,Ward 1 – Kasba,Roads & Pothole Repair,13.0,12.2,,-6.15
2024-02,Ward 1 – Kasba,Drainage & Flooding,8.6,7.4,,-13.95
2024-02,Ward 1 – Kasba,Streetlight Maintenance,3.3,2.8,,-15.15
2024-02,Ward 1 – Kasba,Waste Management,5.9,6.4,,8.47
2024-02,Ward 1 – Kasba,Parks & Greening,2.3,2.3,,0.0
2024-02,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.8,16.8,,6.33
2024-02,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,10.4,,4.0
2024-02,Ward 2 – Shivajinagar,Streetlight Maintenance,4.4,4.4,,0.0
2024-02,Ward 2 – Shivajinagar,Waste Management,6.4,7.1,,10.94
2024-02,Ward 2 – Shivajinagar,Parks & Greening,1.9,1.8,,-5.26
2024-02,Ward 3 – Kothrud,Roads & Pothole Repair,11.8,11.7,,-0.85
2024-02,Ward 3 – Kothrud,Drainage & Flooding,8.2,8.8,,7.32
2024-02,Ward 3 – Kothrud,Streetlight Maintenance,4.0,4.0,,0.0
2024-02,Ward 3 – Kothrud,Waste Management,5.1,5.6,,9.8
2024-02,Ward 3 – Kothrud,Parks & Greening,3.3,3.3,,0.0
2024-02,Ward 4 – Warje,Roads & Pothole Repair,10.3,10.7,,3.88
2024-02,Ward 4 – Warje,Drainage & Flooding,6.7,5.7,,-14.93
2024-02,Ward 4 – Warje,Streetlight Maintenance,3.0,2.8,,-6.67
2024-02,Ward 4 – Warje,Waste Management,4.4,4.1,,-6.82
2024-02,Ward 4 – Warje,Parks & Greening,1.6,1.4,,-12.5
2024-02,Ward 5 – Hadapsar,Roads & Pothole Repair,14.3,12.9,,-9.79
2024-02,Ward 5 – Hadapsar,Drainage & Flooding,10.6,9.2,,-13.21
2024-02,Ward 5 – Hadapsar,Streetlight Maintenance,3.7,3.4,,-8.11
2024-02,Ward 5 – Hadapsar,Waste Management,6.1,6.2,,1.64
2024-02,Ward 5 – Hadapsar,Parks & Greening,2.5,2.4,,-4.0
2024-03,Ward 1 – Kasba,Roads & Pothole Repair,13.0,12.3,,-5.38
2024-03,Ward 1 – Kasba,Drainage & Flooding,8.6,7.7,,-10.47
2024-03,Ward 1 – Kasba,Streetlight Maintenance,3.3,3.0,,-9.09
2024-03,Ward 1 – Kasba,Waste Management,5.9,6.5,,10.17
2024-03,Ward 1 – Kasba,Parks & Greening,2.3,2.4,,4.35
2024-03,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.8,15.9,,0.63
2024-03,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,,Data not submitted by ward office,
2024-03,Ward 2 – Shivajinagar,Streetlight Maintenance,4.4,3.9,,-11.36
2024-03,Ward 2 – Shivajinagar,Waste Management,6.4,6.7,,4.69
2024-03,Ward 2 – Shivajinagar,Parks & Greening,1.9,1.7,,-10.53
2024-03,Ward 3 – Kothrud,Roads & Pothole Repair,11.8,11.1,,-5.93
2024-03,Ward 3 – Kothrud,Drainage & Flooding,8.2,9.2,,12.2
2024-03,Ward 3 – Kothrud,Streetlight Maintenance,4.0,4.1,,2.5
2024-03,Ward 3 – Kothrud,Waste Management,5.1,5.1,,0.0
2024-03,Ward 3 – Kothrud,Parks & Greening,3.3,3.4,,3.03
2024-03,Ward 4 – Warje,Roads & Pothole Repair,10.3,11.1,,7.77
2024-03,Ward 4 – Warje,Drainage & Flooding,6.7,7.1,,5.97
2024-03,Ward 4 – Warje,Streetlight Maintenance,3.0,2.8,,-6.67
2024-03,Ward 4 – Warje,Waste Management,4.4,3.7,,-15.91
